"Title","Date_received","Opinion","Number_of_Findings","Nature_of_Findings",
"264 - Administrative Office of the District Attorney (2007)","2007-12-21","Unqualified","6","PY&amp;CY-1 1)Some receipts weren&#039;t deposited timely CY-5 1)Some of the Offices invoices weren&#039;t paid within 30 days of the certification date &amp; there were 2 instances where late fees were assessed &amp; paid 2)The Office is not researching deposits posted to &quot;receipts held in suspense&quot; &amp; submitted journal entries to post those recepits to the correct accounts 3)The Office had numerous weaknesses in internal controls related to the implementation of the SHARE system 4)Late Audit Report due to SHARE system 5)The office failed to submit the required State General Fund Allotment request Forms to DFA &amp; therefore, didn&#039;t receive the $2,705,900 general fund appropriation during the fiscal yr reuslting in a negative cash balance during part of the fiscal yr &amp; at the end of the fiscal yr",
"264 - Administrative Office of the District Attorney (2008)","2009-07-17","Unqualified","6","",
"264 - Administrative Office of the District Attorney (2009)","2009-12-11","Unqualified","4","",
"264 - Administrative Office of the District Attorney (2010)","2010-12-10","Unqualified","3","",
"264 - Administrative Office of the District Attorney (2011)","2011-12-13","Unqualified","2","",
"760 - Adult Parole Board (1999)","1999-01-01","Unqualified","1","Maintaining general ledger ",
"760 - Adult Parole Board (2000)","2000-01-01","Unqualified","2","(1)Prior Year (1)Minutes ",
"760 - Adult Parole Board (2001)","2001-11-14","Unqualified","3","(1)Lack of Adequate minutes (1)Untimely reversion (1)Missing I-9 form and Annaul evaluation ",
"760 - Adult Parole Board (2002)","2002-11-08","Unqualified","2","CY (1)reversion to State General Fund not done in full, (1)IRS violation I-9 missing ",
"760 - Adult Parole Board (2003)","2003-11-25","Unqualified","1","CY - (1)Lack of reversion - failure to transfer reverting funds timely. ",
"760 - Adult Parole Board (2004)","2004-11-12","Unqualified","0","None",
"760 - Adult Parole Board (2005)","2005-12-14","Unqualified","1","1 CY: Budget expenditures authority was exceeded.",
"760 - Adult Parole Board (2006)","2007-04-30","Unqualified","6","CY-6 1)Updating Leave records 2)Reversion 3)Late Audit Report 4)Public employees Retirement Act compliance 5)Fraud Policy 6)Stale dated Warrants",
"760 - Adult Parole Board (2007)","2008-01-30","Qualified","2","<p>CY-2 1)The Adult Parole Board PERA records do not agree with the PERA records; the difference is $9504. 2)Late Audit Report</p>",
"760 - Adult Parole Board (2008)","2008-11-26","Unqualified","5","<p>CY-5 1)SHARE reconciliation not timely 2)Lack of segregation of duties 3)Untimely reversions to the State General Fund 4)Budget over-expended 5)Lack of disposal of obsolete fixed assets</p>",
"760 - Adult Parole Board (2009)","2009-11-04","Unqualified","2","",
"760 - Adult Parole Board (2010)","2010-11-05","Unqualified","0","",
"760 - Adult Parole Board (2011)","2011-11-15","Unqualified","0","",
"624 - Aging & Long Term Care Department (1999)","1999-01-01","Unqualified","0"," ",
"624 - Aging & Long Term Care Department (2000)","2000-01-01","Unqualified","0"," ",
"624 - Aging & Long Term Care Department (2001)","2001-11-26","Unqualified","0"," ",
"624 - Aging & Long Term Care Department (2002)","2002-12-11","Unqualified","0"," ",
"624 - Aging & Long Term Care Department (2003)","2003-12-15","Unqualified","0"," ",
"624 - Aging & Long Term Care Department (2004)","2004-12-13","Unqualified","0","None",
"624 - Aging & Long Term Care Department (2005)","2005-12-15","Unqualified","0","None",
"624 - Aging & Long Term Care Department (2006)","2006-12-18","Unqualified","3","CY-3 1)Information Technology-Disaster Recovery 2)Information Technology-Security Logs 3)Information Technology-Restoration Tests",
"624 - Aging & Long Term Care Department (2007)","2007-12-17","In review","0","",
"624 - Aging & Long Term Care Department (2008)","2008-12-15","Unqualified","1","<p>CY-1 1)Inventory and disposal of capital&nbsp;assets</p>",
"624 - Aging & Long Term Care Department (2009)","2009-12-14","Unqualified","3","",
"624 - Aging & Long Term Care Department (2010)","2011-12-22","Unqualified","12","",
"624 - Aging & Long Term Care Department (2011)","2012-03-01","In review","0","",
"3001 - Agua Fria Community Water Systems (2010)","2011-08-17","Agreed Upon Procedure (No Opinion)","0","",
"7001 - Alamogordo Municipal Schools (1998)","1998-01-01","Unqualified","2","Illegal Use of Property, Pledged Collateral ",
"7001 - Alamogordo Municipal Schools (1999)","1999-01-01","Unqualified","1","Deposits not Timely P/R Deduction ",
"7001 - Alamogordo Municipal Schools (2001)","2001-11-15","Unqualified","5","PY - (1)Budget (1)Deposits not timely CY - (1)Incorrect Coding of capital outlay (1)Not reconciled timely or correctly (1)Incorrect final budget report ",
"7001 - Alamogordo Municipal Schools (2002)","2003-02-13","Unqualified","5","1 - PY - (1)SDE report incorrect. - 4 - CY - (1)No ending inventory of commodities. (1) Single checking account used for multiple funds items not traceable to fund. (1)Line item expenditures exceed budgeted amount in two funds. (1)Audit report filed late. ",
"7001 - Alamogordo Municipal Schools (2003)","2004-05-18","Unqualified","6","4 PY - (1)Accounting records. (1)Annual report. (1)Overspent budget. (1)Timeliness of audit report. - 2 CY - (1)Fixed asset reconciliation. (1)Under collateralized funds. ",
"7001 - Alamogordo Municipal Schools (2004)","2004-09-21","Unqualified","6","2 PY: 1) Budget expenditures authority was exceeded; 1) The audit report was late. 4 CY: 1) There were purchase/procurement code violations; 1) The accounting records were inadequate/out of balance - LS Charter School; 1) Bank accounts were not reconciled; 1) Budget - Lacy Simms Charter School",
"7001 - Alamogordo Municipal Schools (2005)","2005-11-15","Unqualified","9","9 CY: 1) Overspent budget-Alamogordo Municipal Schools; 2) Purchase orders and approval-Alamogordo Schools; 3) Timeliness &amp; deposits - Alamogordo Municipal Schools; 4) Accounting system-Lacy Simms Charter School; 5) Budget - Lacy Simms Charter School; 6) Purchase orders - Lacy Simms Charter School; 7) Payroll document-ation- Lacy Simms Charter School; 8) Activity funds - Lacy Simms Charter School; 9) Under collateralized funds - Lacy Simms Charter School.",
"7001 - Alamogordo Municipal Schools (2006)","2007-05-29","Unqualified","8","PY-2 1)Timeliness of Deposits Alamogordo Municipal Schools 2)No documentation of approved BAR&#039;s-Lacy Simms Charter School CY-6 1)Accounting System-Lacy Simms Charter School 2)No valid State ID for State Withholding-Lacy Simms Charter School 3)Credit Card account at Lowe&#039;s-Lacy Simms Charter Schools 4)Business office organization-Lacy Simms Charter School 5)Timeliness of reports-Alamogordo Municipal Schools 6)Overspent Budgets-Lacy Simms Charter School",
"7001 - Alamogordo Municipal Schools (2007)","2007-11-15","Unqualified","4","PY&amp;CY-1 1)District deposits for activity funds are not being made timely at all schools CY-3 1)District funds held by a financial institution were under collateralized 2)Charter School expenditures were approved that exceeded the budgeted amount inthe Operating-Support Services category &amp; the Charter School-Instruction category 3)Charter School tranferred $30,000 of funds from the Institutional Materials to the Operational Fund in noncompliance with the state statute 22-15-1 NMSA 1978",
"7001 - Alamogordo Municipal Schools (2008)","2009-03-26","Qualified","4","<p>PY-1 1)Undercollateralized funds CY-3 1)Late Audit Report 2)SAS 112 finding-auditor prepared the financial statements 3)Capital assets</p>",
"7001 - Alamogordo Municipal Schools (2009)","2009-11-13","Qualified","1","",
"7001 - Alamogordo Municipal Schools (2010)","2010-11-15","Unqualified","2","",
"7001 - Alamogordo Municipal Schools (2011)","2012-02-16","Unqualified","14","",
"6004-A - Albuquerque Housing Authority (2011)","2012-03-20","In review","0","",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2004)","2004-09-24","Unqualified","1","CY-1)Budget expenditures authority was exceeded",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2005)","2005-09-30","Unqualified","0","",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2006)","2006-12-01","Unqualified","1","CY-1 1)Failure to notify State Auditor about theft of Laptop Computer",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2007)","2007-11-30","Unqualified","1","<p>CY-1 1)Travel and per diem</p>",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2008)","2008-09-24","Unqualified","1","",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2009)","2009-10-05","Unqualified","2","",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2010)","2010-11-16","Unqualified","0","",
"4003 - Albuquerque Metro Arroyo Flood Control Authority (2011)","2011-11-03","Unqualified","0","",
"7002 - Albuquerque Public Schools (1998)","1998-01-01","Unqualified","1","P/Y, Federal Equipment Inventory ",
"7002 - Albuquerque Public Schools (1999)","1999-01-01","Unqualified","1","Cash Collateralization ",
"7002 - Albuquerque Public Schools (2000)","2000-01-01","Unqualified","0"," ",
"7002 - Albuquerque Public Schools (2001)","2001-11-15","Unqualified","26","(22)Charter school (1)W4&#039;s (1)Perdiem/travel (1)Inv. obsolence (1)Investement collateral ",
"7002 - Albuquerque Public Schools (2002)","2003-05-01","Unqualified","69","5 PY - (1)There were no policies &amp; procedures over their student activity funds-East Mountain. (3)Fixed (capital) asset records are inadequate. (1)There are no effective contracts for employees. - 64 CY - (5)There were purchase/procurement code violations. (1)Vendors either did not perform work for the Maintenance &amp; Operations dept. &amp; split the money with APS employee or the vendor would be required to pay a kick back to employees in order to receive the work (Fraud finding). (1)There are no adequate written controls &amp; guidelines over the use or distribution of cell phones. (1)There were no policies &amp; procedures over credit cards, travel. (1)Employee did not submit the required documents for retirement from the ERB. (8)Expenditure documentation inadequate or erroneous. (1)Cash receipts were not deposited on a daily basis. (1)Inventory value at year-end was not accurately stated. (1)Lack of inventory cutoff procedures. (1)The audit report was late. (6)Budget expenditures authority was excee",
"7002 - Albuquerque Public Schools (2003)","2004-05-08","Unqualified","162","CY - (1)Cell phone usage. (5)Cash &amp; Bank reconciliations. (2)Food warehouse. (12)Fixed assets &amp; inventory counts. (5)Financial reporting. (17)Policies &amp; procedures. (10)Budgets.(3)Accounting Methodolgy/Software conversion. (3)Student activity funds. (8)SDE/reports. (2)NMPSIA (2)G/L (18)Personnel &amp; P/R. (20)Cash disbursements/overpayments. (4)Board (3)IT (1)Security (1)Audit due date. (10)Contracts. (7)State adequacy standards. (6)Travel &amp; per diem, (7)Collateral/pledged collateral. (5)Procurement policies. (2)Debt (2)Segregation of duties. (3)Check signers/voided checks. (2)Open meetings act. (1)Sales tax. ",
"7002 - Albuquerque Public Schools (2004)","2005-05-23","Unqualified","127","127 CY: 6) Pledged collateral; 5) Bank reconciliations; 7) Cash disbursements; 10) Budgetary conditions; 10) Public Education Department reports; 9) Segregation of duties; 3) Travel and per diem; 3) Board members; 1) Activity funds; 1) Disposition of property; 2) Late audit reports; 2) Fixed assets; 2) Capital assets; 2) Stale-dated checks; 10) Policies and procedures; 2) Cash disbursement procedures; 4) Contracted services; 3) Payroll taxes; 3) ERA contributions; 3) Budget adjustment requests; 1) Self insurance reserves; 2) Missing W-4; 1) Untimely deposits; 1) Late payments for cash disbursements; 4) 941 reporting; 1) Federal cash requirements; 1) Purchasing; 2) Procurement bids; 1) Monthly rental payments; 1) Budget deficit; 1) Paid time off; 1) Lack of compliance with policies and procedures; 1) Disaster recovery plan; 1) Financial administration contract; 2) Procurement; 1) Personal expenditures; 1) Principal&#039;s fund; 1) Lack of authorization of purchases; 1) Incorrectly calculated payment; 1) Person",
"7002 - Albuquerque Public Schools (2005)","2006-05-25","Qualified","178","178 CY: 1) Fixed (capital) asset records are inade-quate (1); 2) Budget expenditures authority was exceeded (14); 3) There were unsecured public funds, either uninsured or under-collateralized (13); 4) There were purchase/procurement code violations (8); 5) There were travel/per diem act violations (8); 6) Bank accounts were not recon-ciled (3); 7) There were payroll &amp; payroll tax form irregularities (22); 8) The audit report was late (1); 9) Capital asset inventory not performed (1); 10) Cash control standards lacking (3); 11) Dispos-ition of property (1); 12) Personnel files incomplete/missing (4); 13) Federal cash require-ments not met (1); 14) Policies &amp; procedures non-existent/inadequate/not followed (10); 15) PED reports filed late/do not reconcile to general ledger (12); 16) Contract services directly/indirectly w/ board member (governance council) as employee or family (4); 17) Stale dated checks (1); 18) Segregation of duties (5); 19) Bank deposits untimely/unavailable/inadequate receipt docu",
"7002 - Albuquerque Public Schools (2006)","2007-05-24","Unqualified","196","PY&amp;CY-41 1)Cash Receipts 2)Activity Funds x3 3)Personnel Files 4)Late Audit Report 5)PED Reports x2 6)Timely reconicliation of Capital Asset Inventory 7)Pledged Collateral Cash Equivalents &amp; Deposits 8)Budgetary Conditions x20 9)Pledged Collateral x8 10)Satle dated checks x3 11)Supply inventory 12)Travel &amp; per Diem Act violations x5 13)Pledged Collateral x4 14)Payroll-Lack of supporting documentation x2 15)Budget Adjustment requests 16)Cash not reconciled 17)Business Licensure x2 18)Lack of uspporting documentation x2 19)Gross pay does not agree with contract amount 20)Internal controls over journal entries 21)Compensated absences 22)Inadequate segregation of duties in the receipting process 23)Payroll-lack of documentation 24)Segregation of duties 25)Internal controls over non-standard journal entries 26)Anti-donation x2 CY-148 1)Prior period restatements 2)Cafeteria internal controls 3)Late payments 4)Purchasing 5)Unauthorized purchase card expenditures 6)Overpayment of compensation 7)Overspendi",
"7002 - Albuquerque Public Schools (2007)","2008-09-29","Unqualified","250","<p>PY-49 1)Prior period restatement 2)Late audit report 3)Purchasing 4)Timely reconciliation of capital asset inventory 5)Overspending of budgeted amounts 6)Capital asset recognition 7)Internal controls 8)PED reports 9)Pledged collateral 10)Bank reconciliation 11)ERA reconciliation 12)Internal controls over non-standard jornal entries 13)Budgetary condition 14)Segregation of duties 15)Component Unit (CU)-PED reports 16)CU-Journal entries 17)CU-Bank deposits 18)CU-PED reports 19)CU-Supply inventory&nbsp;20)CU-approval and docuemntation on journal entries 21)CU-PED reports 22)CU-Gross pay does not agree to contract amount 23)CU-Journal Entries 24)CU-PED reports 25)CU-Budgetary conditions 26)CU-Cash reconciliation 27)CU-PED reports 28)CU-Activity funds-lack of documentation 29)CU-Procurement code 30)CU-Gross pay does not agree to contract amount 31)CU-Lack of authority signatory on payroll registers 32)CU-ERA and RHC contributions 33)CU-Pledged collateral 34)CU-Business licensure 35)CU-Internal controls over non",
"7002 - Albuquerque Public Schools (2008)","2009-02-18","Qualified","278","",
"7002 - Albuquerque Public Schools (2009)","2009-11-15","Unqualified","378","",
"7002 - Albuquerque Public Schools (2010)","2010-11-15","Unqualified","214","",
"7002 - Albuquerque Public Schools (2011)","2011-11-15","Unqualified","130","",
"968 - Albuquerque TVI Foundation (2002)","2002-10-21","Unqualified","0"," ",
"968 - Albuquerque TVI Foundation (2003)","2003-10-22","Unqualified","0"," ",
"968 - Albuquerque TVI Foundation (2004)","2004-10-20","Unqualified","0","See Albuquerque TVI - Foundation is component unit. ",
"6004-B - Albuquerque-Bernalillo County Water Utility Association (2008)","2009-04-01","Unqualified","14","<p>PY-5 1)Capital assets deletion 2)Late Audit report 3)The City underpaid governmental gross receipts tax to the State 4)Uncollateralized bank deposits 5)Lack of authorization for use of purchase cards&nbsp; CY-9 1)Lack of segregation of duties handling payroll checks 2)Financial closing and reporting process is not well documented in policies and procedures 3)Bonding employees who handle investments 4)Risk management-claims paid segregation of duties 5)There are no policies in place to ensure that environmental obligations or contingent obligations are reported in the City's financial statements 6)Risk Management - claims 7)Non-compliance with the NM State Public money law requirements 8)Capital asset additions 9)Bank reconciliation process</p>",
"6004-B - Albuquerque-Bernalillo County Water Utility Association (2009)","2010-11-19","Unqualified","23","",
"6004-B - Albuquerque-Bernalillo County Water Utility Association (2010)","2011-08-03","In review","0","",
"6004-B - Albuquerque-Bernalillo County Water Utility Association (2010)","2011-08-03","Unqualified","17","",
"6004-B - Albuquerque-Bernalillo County Water Utility Association (2011)","2012-03-22","Unqualified","16","",
"7078-A - Aldo Leopold Charter High School (2007)","2009-04-01","Unqualified","5","<p>PY-1 1)The School has not managed its payroll reporting system in accourdance with federal regulations&nbsp; CY-4 1)The School's general ledger balances were not reconciled to cash in the bank 2)The School was unable to locate one receipt book 3)Late Audit Report 4)Expenditures in excess of budgetary authority</p>",
"7078-A - Aldo Leopold Charter High School (2008)","2009-04-22","Unqualified","3","<p>PY-3 1)The School's General Ledger balances were not reconciled to cash in the bank 2)The School ahs not managed its payroll reporting system in accordance with federal regulations 3)Late Audit Report</p>",
"7078-A - Aldo Leopold Charter High School (2009)","2009-11-15","Unqualified","3","",
"7078-A - Aldo Leopold Charter High School (2010)","2010-11-12","Unqualified","1","",
"4006 - Alpine Village Sanitation District (2004)","2004-12-01","Unqualified","0","",
"4006 - Alpine Village Sanitation District (2005)","2005-11-30","Unqualified","0","",
"4006 - Alpine Village Sanitation District (2006)","2006-12-01","Unqualified","0","",
"4006 - Alpine Village Sanitation District (2007)","2008-09-11","Unqualified","2","<p>CY-2 1)Lack of pledged securities 2)Late audit report</p>",
"4006 - Alpine Village Sanitation District (2008)","2008-09-30","Unqualified","1","<p>PY-1 1)Lack of pledged securities</p>",
"4006 - Alpine Village Sanitation District (2009)","2009-12-01","In review","0","",
"4006 - Alpine Village Sanitation District (2010)","2011-09-26","Unqualified","1","",
"2011-Alpine Village Sanitation District (2011)","2011-08-08","Unqualified","0","",
"4006 - Alpine Village Sanitation District (2011)","2011-12-01","Unqualified","0","",
"4007 - Alto Lakes Special Zoning District (2006)","2006-11-30","Unqualified","1","CY-1 1)Gross Receipts Tax",
"4007 - Alto Lakes Special Zoning District (2007)","2008-09-17","Unqualified","3","<p>PY-1 1)Gross Receipts Tax&nbsp; CY-2 1)Late Audit Report 2)IPA prepared audit report</p>",
"4007 - Alto Lakes Special Zoning District (2008)","2009-05-12","Unqualified","2","",
"4008 - Alto Lakes Water & Sanitation District (2006)","2006-11-30","Unqualified","0","",
"4008 - Alto Lakes Water & Sanitation District (2007)","2007-11-21","Unqualified","1","CY-1 1)District entered in a Professional services contract with an IPA on the State Auditor&#039;s List &amp; didn&#039;t get the PSC approved by the State Auditor",
"4008 - Alto Lakes Water & Sanitation District (2008)","2008-12-01","Unqualified","1","<p>CY-1 1)Pledged collateral was less that State requirements</p>",
"4008 - Alto Lakes Water & Sanitation District (2009)","2009-11-25","Unqualified","0","",
"4008 - Alto Lakes Water & Sanitation District (2010)","2010-11-30","Unqualified","0","",
"4008 - Alto Lakes Water & Sanitation District (2011)","2011-11-23","Unqualified","0","",
"969-F - Alumni Association (University of New Mexico Component Unit) (2008)","2008-10-15","Unqualified","0","",
"969-F - Alumni Association (University of New Mexico Component Unit) (2009)","2009-10-16","Unqualified","0","",
"969-F - Alumni Association (University of New Mexico Component Unit) (2010)","2010-10-19","Unqualified","0","",
"969-F - Alumni Association (University of New Mexico Component Unit) (2011)","2011-10-21","In review","0","",
"7081-A - Anansi Charter School (2008)","2008-11-17","Unqualified","0","",
"7081-A - Anansi Charter School (2009)","2010-06-10","Qualified","14","",
"969-D - Anderson School of Management (University of New Mexico Component Unit) (2008)","2008-10-15","Unqualified","0","",
"969-D - Anderson School of Management (University of New Mexico Component Unit) (2009)","2009-10-16","Unqualified","0","",
"969-D - Anderson School of Management (University of New Mexico Component Unit) (2010)","2010-10-19","Unqualified","0","",
"969-D - Anderson School of Management (University of New Mexico Component Unit) (2011)","2011-10-21","Unqualified","1","",
"4065 - Animal Service Center of Mesilla Valley (2009)","2009-11-30","Unqualified","0","",
"4065 - Animal Service Center of Mesilla Valley (2010)","2010-11-29","Unqualified","0","",
"4065 - Animal Service Center of Mesilla Valley (2011)","2011-12-01","Unqualified","0","",
"7003 - Animas Public Schools (1998)","1998-01-01","Unqualified","0"," ",
"7003 - Animas Public Schools (1999)","1999-01-01","Unqualified","0"," ",
"7003 - Animas Public Schools (2000)","2000-01-01","Unqualified","0"," ",
"7003 - Animas Public Schools (2001)","2001-11-15","Unqualified","0"," ",
"7003 - Animas Public Schools (2002)","2002-11-12","Unqualified","0"," ",
"7003 - Animas Public Schools (2003)","2003-11-15","Unqualified","1","CY - (1)Agency fund deficit balance. ",
"7003 - Animas Public Schools (2004)","2004-11-15","Unqualified","1","CY - (1)Budget expenditures authority was exceeded. ",
"7003 - Animas Public Schools (2005)","2005-11-15","Unqualified","1","1 CY: Capital asset disposition.",
"7003 - Animas Public Schools (2006)","2006-10-18","Unqualified","2","2 CY: 1) Procurement; 2) Travel reimbursements.",
"7003 - Animas Public Schools (2007)","2007-11-09","Unqualified","0","",
"7003 - Animas Public Schools (2008)","2008-11-17","Unqualified","0","",
"7003 - Animas Public Schools (2009)","2009-11-15","Unqualified","0","",
"7003 - Animas Public Schools (2010)","2010-11-12","Unqualified","2","",
"7003 - Animas Public Schools (2011)","2011-11-02","Unqualified","1","",
"4009 - Antelope Valley Irrigation District (2004)","2004-10-14","Unqualified","0","",
"4009 - Antelope Valley Irrigation District (2005)","2005-09-16","Unqualified","0","",
"4009 - Antelope Valley Irrigation District (2006)","2006-09-25","Unqualified","0","",
"4009 - Antelope Valley Irrigation District (2007)","2007-12-03","Unqualified","1","CY-1 1)Paid invoices of the Irrigation district were not cancelled by stamping &quot;Paid&quot; on each invoice",
"4009 - Antelope Valley Irrigation District (2008)","2008-12-01","Unqualified","2","<p>CY-2 1)Checks and check register 2)Prior yr audit adjustment were not posted to the Districts books</p>",
"4009 - Antelope Valley Irrigation District (2009)","2010-01-27","Unqualified","2","",
"4066 - Anthony Water & Sanitation District (2004)","2005-02-01","Unqualified","13","PY&amp;CY-6 1)Reconciling Bank balance to G/L (repeated w/modification) 2)Reconciliation of Accts Rec&#039;vable subsidiary to G/L/accuracy of subsidiary (repeated) 3)Findings in payroll testing 4)Required reserve funds 5)Accounts payable &amp; accrued expenses 6)Over spending of certain budget line items CY-7 1)Noncompliance with the public purchasing act 2)Unreported fringe benefits 3)Untimely delivery of Audit report 4)Incorrect W-2 &amp; 941&#039;s 5)Blank checks signed-payroll account 6)Manual checks not posted 7)Audit contract not timely",
"4066 - Anthony Water & Sanitation District (2005)","2006-04-12","Unqualified","6","PY-5 1)Late Audit Report 2)Reconciling Bank balance to G/L 3)Reconciliation of Acctouns Receivable subsidiary to G/L/Accuracy of Subsidiary 4)Accounts Payabler &amp; Accrued Expenses 5)Over spending of certain budget line items CY-1 1)Unrecorded payroll transactions",
"4066 - Anthony Water & Sanitation District (2006)","2007-12-27","Unqualified","8","PY&amp;CY-6 1)The District has several old non-existent bank accounts remaining on its GL 2)The customer accounts receivable subsidiary records are not reconciled monthly to the GL 3)Accounts payable &amp; accrued expenses are not being recorded in the GL 4)All payroll transactions were not recorded in the GL for fiscal yr ending 6/30/2006 until the end of the year 5)The District expenditures exceeded budget in personnel by $72,897; debt interest by $8,184 &amp; grant capital outlay by $662,720 6)Late Audit Report CY-2 1)The quarterly financial reports for FY06 were not submitted to the Dept of Finance &amp; Administration Local Government Division 2)The operating budget for FY06 was approved by the District&#039;s Board &amp; submitted to DFA; but DFA has not approved it; pending receipt of the quarterly financial reports",
